client_number;entity_number;is_first
89920;1286;True
90211;1290;True
90211;1291;False
90696;1010;True
90793;1298;True
90890;1297;True
90987;1299;True
91084;1300;True
91181;1301;True
91472;1305;True
91569;1307;True
91666;1308;True
91763;1309;True
91763;1310;False
91860;1311;True
91957;1312;True
92054;1313;True
92151;1314;True
92151;1315;False
92248;1318;True
92442;1319;True
92539;1320;True
92733;1322;True
92830;1323;True
93024;1326;True
93121;1327;True
93315;1330;True
93315;1331;False
93412;1332;True
93606;1334;True
93606;1335;False
93606;1329;False
93897;1338;True
93897;1339;False
93994;1340;True
94188;1342;True
94188;1343;False
94285;1344;True
94479;1346;True
94576;1347;True
94673;1348;True
94673;1349;False
94770;1350;True
94867;1351;True
94867;1352;False
94964;1353;True
95061;1354;True
95158;1355;True
95255;1356;True
95449;1361;True
95449;718;False
95449;1360;False
95449;258;False
95643;1363;True
95837;1365;True
95934;1366;True
96031;1367;True
96128;1368;True
96128;1369;False
96128;1370;False
96128;1005;False
96322;1373;True
96322;1374;False
96516;1376;True
96613;1377;True
96710;1378;True
96807;1379;True
97098;1381;True
97195;1176;True
97292;1382;True
97292;1383;False
97389;1384;True
97486;1385;True
97583;1386;True
97777;1388;True
97874;1389;True
97874;1390;False
97971;1391;True
97971;1392;False
98068;1393;True
98165;1394;True
98165;1395;False
98262;1396;True
98456;1398;True
98553;1399;True
98553;1400;False
98650;1401;True
98650;1402;False
98747;1404;True
99038;1408;True
99135;1409;True
99135;1919;False
99232;1411;True
99329;1412;True
99329;1413;False
99523;1416;True
99814;1419;True
99911;1420;True
100105;1423;True
100105;839;False
100105;838;False
100202;1424;True
100590;1427;True
100687;1428;True
100784;1429;True
100881;1430;True
100978;1431;True
101172;1433;True
96419;1375;True
96419;1434;False
101269;1435;True
101366;1436;True
101560;1438;True
101754;1440;True
101754;1441;False
101948;1444;True
101948;1445;False
102045;1353;True
102045;1446;False
102142;1447;True
102239;1448;True
102336;1449;True
102433;1450;True
102433;1451;False
102530;1453;True
102724;1455;True
102724;1456;False
102821;1457;True
103112;1460;True
103694;1465;True
103791;1466;True
103888;1467;True
103985;1468;True
103985;1469;False
30168;457;True
30168;1296;False
104179;1472;True
104276;1473;True
104373;1474;True
104373;1475;False
104470;1476;True
104567;1477;True
104567;1478;False
104664;1479;True
104664;1481;False
104761;1482;True
105052;1486;True
105052;1487;False
105052;1488;False
105149;1489;True
105440;1492;True
105634;1494;True
105634;1495;False
105828;1497;True
105828;10;False
105925;1498;True
106022;1499;True
106313;1504;True
106313;1505;False
106604;1510;True
106604;1511;False
106798;1512;True
106798;1465;False
106798;1513;False
106992;1517;True
107380;1520;True
107477;1521;True
107477;1522;False
107574;1523;True
107768;1525;True
108059;1527;True
108156;1528;True
108253;1529;True
108350;1530;True
108350;1531;False
108544;1533;True
108641;1535;True
108641;1536;False
108738;1537;True
108932;1539;True
109320;1546;True
109417;1547;True
109417;1548;False
109611;1549;True
109708;1550;True
110193;1554;True
110290;1557;True
110290;1558;False
110484;1562;True
110484;1563;False
110581;1564;True
110581;1565;False
110678;1566;True
110678;1567;False
110678;1568;False
110775;1569;True
110775;1570;False
110872;1571;True
110872;1572;False
110969;1573;True
111066;1574;True
111066;1575;False
111066;1576;False
111454;1580;True
111551;1581;True
111648;1582;True
111745;1583;True
112036;1587;True
112036;1588;False
112618;1595;True
112812;1597;True
112909;1592;True
113103;1600;True
113103;1601;False
113297;1602;True
113491;1603;True
113491;1605;False
113588;1606;True
113782;1608;True
113879;1609;True
113976;1610;True
114073;1611;True
114267;1614;True
114364;1618;True
114461;1619;True
114558;1620;True
114752;1622;True
114752;1623;False
114849;1624;True
114849;1625;False
115043;1628;True
115043;1629;False
115140;1630;True
115140;1631;False
115237;1632;True
115334;1633;True
115528;1635;True
115625;7194;True
115625;1637;False
115722;1638;True
115819;1639;True
115819;1640;False
115916;1642;True
116013;1643;True
74012;1067;True
74012;1586;False
116207;1647;True
116498;1648;True
116498;1649;False
116595;1617;True
116595;1650;False
116789;1652;True
116983;1656;True
116983;1657;False
117080;1659;True
117177;1660;True
117274;1661;True
117274;608;False
117468;1663;True
117662;1667;True
117759;1668;True
117759;1412;False
117953;1673;True
117953;1672;False
118147;1676;True
118244;1677;True
118438;1679;True
118535;1680;True
118535;880;False
118632;1681;True
118826;1685;True
118923;1686;True
119020;1687;True
99717;1418;True
99717;294;False
119602;1697;True
119990;1702;True
120087;1703;True
120281;1706;True
120378;2543;True
120475;1708;True
120572;1709;True
120669;1710;True
120766;1711;True
120863;1712;True
120960;1713;True
121057;1714;True
121154;1715;True
121251;1716;True
121348;1717;True
121445;1718;True
121542;1719;True
121736;1721;True
121639;1720;True
121639;96;False
121833;1722;True
121930;1723;True
121930;1724;False
122221;1727;True
122318;1728;True
122415;1729;True
122415;1730;False
122706;1733;True
122803;1734;True
122997;1735;True
123191;1738;True
123191;1739;False
123288;1740;True
123385;1742;True
123579;1743;True
123676;1744;True
123773;1745;True
123870;1749;True
124064;1746;True
124064;1747;False
124064;1748;False
124064;1752;False
124258;1755;True
124355;1756;True
124452;1757;True
124452;1758;False
124840;1762;True
125034;1765;True
125325;1769;True
125422;1770;True
125422;1771;False
125616;1773;True
125616;1774;False
125713;1775;True
125810;1776;True
125810;1777;False
125907;1778;True
126004;1779;True
126198;1780;True
126295;1781;True
126392;1782;True
126489;1783;True
126780;1786;True
126877;1787;True
127071;1789;True
127168;1790;True
127265;1791;True
127265;1792;False
127459;1795;True
127653;1796;True
127750;1797;True
127847;1798;True
127847;1799;False
128041;1801;True
128138;1802;True
128138;1803;False
128235;1804;True
128332;1805;True
128429;1806;True
128429;1807;False
128817;1812;True
128914;1813;True
129011;1814;True
129011;1815;False
129108;1816;True
129108;1817;False
129205;1818;True
129205;1819;False
129593;1822;True
129593;1823;False
129690;1824;True
129690;1825;False
129884;1827;True
130175;1832;True
130272;1833;True
130466;1836;True
130563;1835;True
130563;1837;False
130660;1839;True
130757;1838;True
130757;1840;False
130854;1842;True
131048;1843;True
131145;1844;True
131242;1846;True
131339;1851;True
131533;1853;True
131727;1855;True
131824;1856;True
131824;1857;False
131921;1858;True
132018;1859;True
132212;1862;True
132406;1865;True
132697;1867;True
132794;1868;True
132794;1869;False
132891;1870;True
132988;1871;True
133085;1872;True
133182;1873;True
133279;1874;True
133376;1875;True
133570;1877;True
133764;1879;True
133861;1881;True
134249;1886;True
134346;1575;True
134540;1890;True
134540;1892;False
134637;1893;True
134637;1824;False
134637;1825;False
134831;1895;True
134928;1896;True
135025;1897;True
135122;1898;True
135122;1899;False
135219;1900;True
135316;1901;True
135316;1902;False
135510;1907;True
135704;1910;True
135898;1911;True
135995;1912;True
136092;1914;True
136189;1916;True
136383;1921;True
136383;1922;False
136480;1923;True
136674;1929;True
136965;1932;True
136965;1933;False
137062;1934;True
137062;1935;False
137159;1936;True
137450;1940;True
137547;1941;True
137644;1942;True
137838;1944;True
138226;1949;True
138323;1950;True
138420;1951;True
138517;1952;True
138614;1953;True
138711;1954;True
137935;1945;True
138808;1955;True
139196;1958;True
139293;1962;True
139293;1960;False
139293;1961;False
139487;1964;True
139681;1967;True
139681;1968;False
139778;1969;True
139875;1970;True
139972;1971;True
140069;1972;True
139584;1966;True
139584;1965;False
140263;1974;True
140457;1976;True
140554;1977;True
140651;1978;True
140748;1979;True
140845;1981;True
140942;1982;True
141233;1988;True
141233;13;False
141427;1990;True
141621;1993;True
141621;1994;False
142009;1998;True
142203;2000;True
142203;826;False
142397;2001;True
142591;2003;True
142979;2008;True
142979;2009;False
143270;2013;True
143270;2014;False
143367;2015;True
143367;2016;False
143561;2018;True
143561;2019;False
122124;978;True
122124;1726;False
122124;2023;False
143755;2024;True
143852;2025;True
144143;2030;True
144337;2032;True
144434;2033;True
144628;2035;True
144725;2037;True
144822;2036;True
144919;2038;True
145016;2039;True
145210;2041;True
145307;2042;True
145307;2043;False
145404;2044;True
145598;2045;True
145598;2046;False
145695;2047;True
145792;1819;True
145889;2048;True
145889;2049;False
145986;2050;True
146083;2051;True
146180;2053;True
146180;2052;False
146374;2055;True
146471;2056;True
146568;2057;True
146859;2060;True
147150;2063;True
147150;2064;False
147247;2065;True
147538;2070;True
147635;2071;True
147732;2073;True
147829;2075;True
147926;2074;True
148023;2076;True
148217;2078;True
148411;5;True
148411;1318;False
148605;2084;True
148896;2086;True
148993;2087;True
149090;2088;True
149090;2089;False
149187;2090;True
149284;2091;True
149381;2092;True
149381;2094;False
149478;2093;True
149575;2095;True
149672;2096;True
149672;2097;False
150157;2105;True
150157;2106;False
150254;2107;True
150448;2109;True
150545;2110;True
150836;2113;True
150933;2114;True
151030;2115;True
151224;2119;True
151321;2120;True
151418;2121;True
151709;2125;True
151709;2126;False
151806;2127;True
152291;2131;True
152291;2132;False
152388;2133;True
152485;2134;True
152485;2135;False
152679;2137;True
152776;2138;True
152970;11437;True
153164;2143;True
153261;2144;True
153358;2145;True
153455;2146;True
153552;2149;True
153649;2150;True
153746;15172;True
153843;2152;True
153843;2153;False
154037;2156;True
154134;2155;True
154134;2157;False
154231;2158;True
154425;2160;True
154328;2159;True
154328;2163;False
154716;2166;True
154813;2165;True
154813;351;False
154813;725;False
154813;2167;False
154910;2168;True
155007;2169;True
155007;2170;False
155104;2171;True
155104;2172;False
155395;2174;True
155492;2175;True
155686;2177;True
152194;2130;True
152194;1592;False
152194;1593;False
155783;2178;True
155977;2180;True
155977;2181;False
156074;2183;True
156171;2182;True
156171;2184;False
156268;2185;True
156365;2186;True
156656;2189;True
156753;2190;True
156850;2191;True
157044;2195;True
157141;2197;True
157238;2198;True
157432;2199;True
157529;2203;True
157626;2200;True
157626;2201;False
157626;2202;False
157723;2204;True
157723;2205;False
157820;2206;True
157917;2208;True
158208;2212;True
158305;2213;True
158596;2215;True
158693;2216;True
158790;2217;True
158887;2218;True
159081;2219;True
159081;2221;False
159178;2222;True
159275;2193;True
159469;2225;True
159566;2226;True
159566;1890;False
159857;2231;True
160051;2234;True
160245;2236;True
160342;2237;True
160439;2238;True
160730;2241;True
161021;2245;True
161021;2246;False
161215;2248;True
161215;2249;False
161118;2247;True
161312;2250;True
161409;2251;True
74303;1069;True
74303;2252;False
74303;2254;False
74303;2255;False
74303;2256;False
74303;2253;False
74303;1082;False
74303;1083;False
74303;2260;False
74303;2261;False
74303;2263;False
74303;2264;False
74303;1081;False
74303;2257;False
74303;2258;False
74303;2259;False
161506;2262;True
161506;2265;False
161603;2266;True
161797;171;True
161797;2267;False
161894;2268;True
161991;2269;True
162088;2270;True
162088;2271;False
162185;2272;True
159372;2223;True
159372;2224;False
162379;2274;True
162670;2279;True
162670;2280;False
162767;624;True
162864;2281;True
162961;2282;True
163058;2283;True
163058;2284;False
163155;2285;True
163446;2288;True
163543;2289;True
163543;2291;False
163640;2290;True
163640;2292;False
163737;2293;True
163737;2294;False
73236;1055;True
73236;1085;False
73236;1086;False
73236;1087;False
73236;1088;False
73236;1081;False
73236;1082;False
73236;1083;False
73236;2258;False
73236;2260;False
73236;2261;False
73236;2263;False
73236;2264;False
73236;2257;False
73236;2259;False
73236;1084;False
164028;2298;True
164125;2299;True
164222;2300;True
164319;2301;True
164319;2302;False
164416;2303;True
164513;2304;True
164610;2305;True
164804;2307;True
164804;2309;False
164998;2310;True
165095;2311;True
165289;2313;True
165289;2314;False
165386;2315;True
165483;1918;True
165580;2317;True
165774;2319;True
166162;2323;True
166259;2324;True
166259;2325;False
166356;2327;True
166453;2326;True
166453;2328;False
166744;2331;True
166938;2333;True
167132;2335;True
167326;2337;True
167423;2338;True
167520;2339;True
167617;2340;True
167617;2342;False
167811;2344;True
168102;2350;True
168296;2351;True
168296;2352;False
